epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.88161,3.81288,13.1034,1.84619,0,0,0,0,3.86283,8.82983,1.71282,8.574e-05,8.574e-05,8.574e-05
2,9.00346,3.82049,12.723,1.66597,0,0,0,0,3.85841,7.34173,1.65599,0.000181172,0.000181172,0.000181172
3,11.6348,3.8279,9.2575,1.5863,0,0,0,0,3.89327,6.08328,1.53419,0.000271653,0.000271653,0.000271653
4,14.1306,3.5105,7.71243,1.46992,0,0,0,0,3.56833,5.67351,1.38577,0.000357182,0.000357182,0.000357182
5,16.4778,3.78234,6.18976,1.34283,0,0,0,0,3.62492,5.75843,1.40311,0.00043776,0.00043776,0.00043776
6,18.8202,3.77037,6.40871,1.28351,0,0,0,0,3.48049,5.4839,1.33074,0.000513386,0.000513386,0.000513386
7,21.1024,3.22858,5.57964,1.22575,0,0,0,0,3.35994,5.34195,1.26385,0.000584061,0.000584061,0.000584061
8,23.4334,3.48119,5.83254,1.25799,0,0,0,0,3.34725,5.94534,1.32079,0.000649784,0.000649784,0.000649784
9,25.731,3.23267,4.87888,1.21881,0,0,0,0,3.48592,6.06897,1.40106,0.000710556,0.000710556,0.000710556
10,28.0345,3.25851,4.47438,1.17242,0,0,0,0,3.50087,5.85503,1.39453,0.000766376,0.000766376,0.000766376
11,30.3389,3.09267,5.85578,1.212,0.00052,0.08333,0.08186,0.04916,3.30877,5.09548,1.29467,0.000817245,0.000817245,0.000817245
12,32.6316,3.2744,4.76255,1.22207,0.00051,0.08333,0.08186,0.02456,3.5964,5.10732,1.33138,0.000863162,0.000863162,0.000863162
13,34.9882,3.15667,5.3351,1.23203,0,0,0,0,3.67515,5.27897,1.35738,0.000904128,0.000904128,0.000904128
14,37.2625,3.17714,4.67947,1.28644,0,0,0,0,3.67515,5.27897,1.35738,0.000940143,0.000940143,0.000940143
15,39.5552,3.13563,4.32099,1.22803,0.00665,0.14048,0.1028,0.05405,3.16562,4.47983,1.25969,0.000933851,0.000933851,0.000933851
16,41.8171,3.0732,3.78349,1.28447,0.83655,0.08333,0.3653,0.14192,2.99725,3.74776,1.18131,0.000898484,0.000898484,0.000898484
17,44.1046,3.16853,4.24888,1.19989,0.77948,0.22876,0.43439,0.14878,3.07542,3.40306,1.15801,0.000863116,0.000863116,0.000863116
18,46.4004,3.18435,3.96465,1.15335,0.47376,0.32231,0.31733,0.12678,3.20737,3.32505,1.17914,0.000827748,0.000827748,0.000827748
19,48.7594,3.14148,4.1096,1.16458,0.25332,0.15434,0.14339,0.05729,3.25907,3.35338,1.17541,0.00079238,0.00079238,0.00079238
20,51.0176,2.92474,3.91812,1.17672,0.2801,0.19524,0.13709,0.06575,3.12447,3.40712,1.1334,0.000757013,0.000757013,0.000757013
21,53.2761,2.89879,3.99485,1.15687,0.46794,0.33333,0.32986,0.10504,2.92725,3.27879,1.1049,0.000721645,0.000721645,0.000721645
22,55.4819,3.18117,3.81916,1.15381,0.46794,0.33333,0.32986,0.10504,2.92725,3.27879,1.1049,0.000686277,0.000686277,0.000686277
23,57.9947,3.01205,3.27636,1.11302,0.48871,0.36023,0.30853,0.12773,2.79453,3.04014,1.09788,0.000650909,0.000650909,0.000650909
24,60.3508,2.81627,3.95878,1.12491,0.56323,0.49286,0.42112,0.15783,2.7582,2.79905,1.09735,0.000615542,0.000615542,0.000615542
25,62.6461,2.85774,3.62067,1.09889,0.51608,0.48571,0.45876,0.19413,2.72601,2.73982,1.08804,0.000580174,0.000580174,0.000580174
26,65.0208,2.94724,3.46214,1.08896,0.48622,0.39843,0.38241,0.16039,2.70617,2.83462,1.08421,0.000544806,0.000544806,0.000544806
27,67.2866,2.98646,3.31603,1.08644,0.39578,0.35398,0.28483,0.15988,2.66384,2.76042,1.07772,0.000509438,0.000509438,0.000509438
28,69.5316,2.94752,3.47086,1.14747,0.44924,0.38095,0.40704,0.17538,2.59471,2.64288,1.05868,0.000474071,0.000474071,0.000474071
29,71.7703,2.99185,3.37671,1.14979,0.6421,0.35238,0.4278,0.17722,2.54637,2.59092,1.05825,0.000438703,0.000438703,0.000438703
30,73.9803,2.82525,3.21111,1.12959,0.6421,0.35238,0.4278,0.17722,2.54637,2.59092,1.05825,0.000403335,0.000403335,0.000403335
31,84.4292,2.68751,3.77138,1.13274,0.79023,0.34286,0.43629,0.20005,2.55156,2.54012,1.0642,0.000367967,0.000367967,0.000367967
32,86.7571,2.59084,3.15332,1.1703,0.41727,0.53095,0.46958,0.21772,2.52638,2.44054,1.06867,0.0003326,0.0003326,0.0003326
33,89.1127,2.6243,3.19418,1.10879,0.8628,0.3619,0.4829,0.21648,2.49917,2.34993,1.07416,0.000297232,0.000297232,0.000297232
34,91.3688,2.75547,3.18595,1.13964,0.84388,0.35674,0.48192,0.21198,2.5462,2.38981,1.06932,0.000261864,0.000261864,0.000261864
35,93.6603,2.67592,3.11798,1.15227,0.73592,0.35159,0.50196,0.21018,2.59722,2.40521,1.06227,0.000226497,0.000226497,0.000226497
36,95.8653,2.51203,2.93143,1.09721,0.45295,0.5881,0.48753,0.18705,2.68524,2.43035,1.06026,0.000191129,0.000191129,0.000191129
37,98.1004,2.67849,3.56619,1.1181,0.55076,0.57003,0.50628,0.19143,2.74112,2.42673,1.06552,0.000155761,0.000155761,0.000155761
38,100.28,2.6349,3.21248,1.11007,0.55076,0.57003,0.50628,0.19143,2.74112,2.42673,1.06552,0.000120393,0.000120393,0.000120393
39,102.511,2.34015,3.1177,1.05695,0.51647,0.5881,0.50021,0.19129,2.734,2.41428,1.06715,8.50255e-05,8.50255e-05,8.50255e-05
40,104.75,2.57214,3.22149,1.09723,0.51071,0.5881,0.49897,0.18591,2.75893,2.40857,1.07594,4.96578e-05,4.96578e-05,4.96578e-05
